app_id,version,prev_version,update_type,update_date,before_avg_score,after_avg_score,score_delta,before_review_count,after_review_count,before_1star_pct,after_1star_pct,before_5star_pct,after_5star_pct
com.kakaobank.channel,2.7.2,1.4.2,major,2021-07-07,3.87,3.435,-0.435,162,232,22.8,31.9,62.3,51.7
com.kakaobank.channel,2.7.3,2.7.2,patch,2021-07-08,3.853,3.438,-0.415,170,233,23.5,31.8,62.4,51.5
com.kakaobank.channel,2.8.1,2.7.3,minor,2021-07-28,3.608,3.662,0.054,212,293,28.3,28.0,56.1,57.7
com.kakaobank.channel,2.8.2,2.8.1,patch,2021-08-20,3.683,3.247,-0.437,278,223,27.3,37.7,57.9,48.0
com.kakaobank.channel,1.3.1,2.8.2,major,2021-08-25,3.716,3.227,-0.489,282,207,26.2,38.6,58.5,48.8
com.kakaobank.channel,2.8.3,1.3.1,major,2021-09-08,3.588,3.451,-0.137,262,173,29.8,31.8,55.7,53.8
com.kakaobank.channel,2.9.0,2.8.3,minor,2021-10-15,3.485,3.874,0.389,136,135,29.4,18.5,54.4,60.7
com.kakaobank.channel,2.9.1,2.9.0,patch,2021-10-19,3.54,3.856,0.316,126,139,27.0,20.1,54.8,61.2
com.kakaobank.channel,2.9.2,2.9.1,patch,2021-11-03,3.694,3.626,-0.068,121,115,22.3,27.0,57.0,56.5
com.kakaobank.channel,2.10.0,2.9.2,minor,2021-12-10,3.262,4.007,0.745,107,292,36.4,20.5,47.7,68.8
com.kakaobank.channel,2.10.1,2.10.0,patch,2021-12-10,3.262,4.007,0.745,107,292,36.4,20.5,47.7,68.8
com.kakaobank.channel,2.11.0,2.10.1,minor,2022-01-19,4.193,3.613,-0.58,223,124,16.1,27.4,72.6,57.3
com.kakaobank.channel,2.12.0,2.11.0,minor,2022-03-04,3.342,2.939,-0.403,120,82,31.7,42.7,47.5,37.8
com.kakaobank.channel,2.12.1,2.12.0,patch,2022-03-06,3.328,3.0,-0.328,119,80,31.9,41.2,47.1,40.0
com.kakaobank.channel,2.13.0,2.12.1,minor,2022-04-01,2.851,3.419,0.567,74,86,45.9,27.9,36.5,46.5
com.kakaobank.channel,1.4.1,2.13.0,major,2022-04-15,3.378,3.39,0.012,82,77,29.3,32.5,45.1,50.6
