app_id,version,prev_version,update_type,update_date,before_avg_score,after_avg_score,score_delta,before_review_count,after_review_count,before_1star_pct,after_1star_pct,before_5star_pct,after_5star_pct
viva.republica.toss,5.213.0,5.212.0,minor,2025-05-26,2.0,2.791,0.791,36,470,58.3,40.0,13.9,29.4
viva.republica.toss,5.213.1,5.213.0,patch,2025-05-27,1.935,2.878,0.944,46,485,60.9,37.9,10.9,31.5
viva.republica.toss,5.214.0,5.213.1,minor,2025-06-01,2.194,3.091,0.897,103,525,55.3,33.5,16.5,37.1
viva.republica.toss,5.215.0,5.214.0,minor,2025-06-09,2.221,3.226,1.005,181,558,54.1,30.5,16.6,40.3
viva.republica.toss,5.215.1,5.215.0,patch,2025-06-10,2.229,3.23,1.001,188,557,54.3,30.3,17.0,40.2
viva.republica.toss,5.57.1,5.215.1,minor,2025-06-13,2.197,3.252,1.055,228,555,55.7,29.7,16.7,40.7
viva.republica.toss,5.216.0,5.57.1,minor,2025-06-16,2.265,3.056,0.79,260,627,53.5,34.3,17.7,35.7
viva.republica.toss,4.97.8,5.216.0,major,2025-06-20,2.37,3.051,0.682,322,642,49.7,35.5,19.6,36.4
viva.republica.toss,5.217.0,4.97.8,major,2025-06-22,2.41,2.966,0.556,344,670,49.4,37.5,20.9,34.5
viva.republica.toss,5.83.1,5.217.0,minor,2025-06-24,2.589,2.901,0.312,367,695,45.2,38.4,25.1,32.4
viva.republica.toss,5.217.1,5.83.1,minor,2025-06-26,2.815,2.782,-0.033,460,634,39.3,41.5,30.0,29.8
viva.republica.toss,5.218.1,5.217.1,minor,2025-06-29,2.992,2.584,-0.408,501,634,35.7,45.6,34.9,24.9
viva.republica.toss,5.107.2,5.218.1,minor,2025-06-30,3.022,2.557,-0.465,505,639,35.0,46.2,35.4,24.4
viva.republica.toss,5.218.2,5.107.2,minor,2025-07-02,3.106,2.495,-0.611,519,642,33.1,47.2,37.4,22.7
viva.republica.toss,5.219.0,5.218.2,minor,2025-07-06,3.156,2.448,-0.708,532,640,32.0,48.4,38.7,21.6
viva.republica.toss,5.220.1,5.219.0,minor,2025-07-15,3.259,2.411,-0.848,541,657,29.9,48.7,41.0,20.7
viva.republica.toss,5.220.2,5.220.1,patch,2025-07-15,3.259,2.411,-0.848,541,657,29.9,48.7,41.0,20.7
viva.republica.toss,5.30.2,5.220.2,minor,2025-07-17,3.096,2.499,-0.597,612,589,33.3,46.7,36.6,22.9
viva.republica.toss,5.221.1,5.30.2,minor,2025-07-21,3.059,2.439,-0.62,628,545,35.2,47.2,36.6,20.7
viva.republica.toss,5.42.2,5.221.1,minor,2025-07-21,3.059,2.439,-0.62,628,545,35.2,47.2,36.6,20.7
viva.republica.toss,5.222.0,5.42.2,minor,2025-07-27,2.731,2.469,-0.262,609,420,42.7,46.2,28.6,21.2
viva.republica.toss,5.223.0,5.222.0,minor,2025-08-03,2.47,2.531,0.061,619,350,47.5,44.6,22.0,21.7
viva.republica.toss,5.1.1,5.223.0,minor,2025-08-12,2.39,2.83,0.441,626,495,49.4,38.6,20.4,29.7
viva.republica.toss,5.10.2,5.1.1,minor,2025-08-12,2.39,2.83,0.441,626,495,49.4,38.6,20.4,29.7
viva.republica.toss,5.224.0,5.10.2,minor,2025-08-12,2.39,2.83,0.441,626,495,49.4,38.6,20.4,29.7
viva.republica.toss,5.225.0,5.224.0,minor,2025-08-18,2.455,2.875,0.42,543,480,47.0,37.7,21.4,31.0
viva.republica.toss,5.225.1,5.225.0,patch,2025-08-21,2.473,2.867,0.394,520,498,46.0,38.0,21.3,30.7
viva.republica.toss,5.226.0,5.225.1,minor,2025-08-26,2.478,2.765,0.288,408,533,45.8,40.9,21.3,28.9
viva.republica.toss,5.227.0,5.226.0,minor,2025-08-31,2.49,2.644,0.154,349,638,45.8,45.5,20.9,27.7
viva.republica.toss,5.227.1,5.227.0,patch,2025-09-02,2.483,2.489,0.005,333,718,45.6,50.1,20.4,25.2
viva.republica.toss,5.228.0,5.227.1,minor,2025-09-07,2.481,2.394,-0.087,341,769,45.7,53.1,20.2,23.1
viva.republica.toss,5.43.1,5.228.0,minor,2025-09-13,2.849,1.99,-0.859,469,679,37.7,63.6,29.6,14.4
viva.republica.toss,5.20.1,5.43.1,minor,2025-09-14,2.841,1.99,-0.851,460,695,38.0,63.7,29.6,14.5
viva.republica.toss,5.229.1,5.20.1,minor,2025-09-15,2.831,1.989,-0.843,456,696,38.4,64.1,29.8,14.7
viva.republica.toss,5.230.0,5.229.1,minor,2025-09-21,2.867,1.948,-0.92,490,724,38.2,64.4,30.8,13.1
viva.republica.toss,5.231.1,5.230.0,minor,2025-09-29,2.777,1.948,-0.829,548,756,41.2,64.0,29.7,12.6
viva.republica.toss,5.97.1,5.231.1,minor,2025-09-30,2.794,1.931,-0.863,559,802,41.1,64.2,30.6,11.7
viva.republica.toss,5.232.0,5.97.1,minor,2025-10-06,2.428,2.084,-0.344,745,632,52.1,59.5,24.0,13.9
viva.republica.toss,5.118.3,5.232.0,minor,2025-10-06,2.428,2.084,-0.344,745,632,52.1,59.5,24.0,13.9
viva.republica.toss,5.232.1,5.118.3,minor,2025-10-15,1.99,2.179,0.19,685,602,63.9,55.3,14.6,14.6
viva.republica.toss,5.233.1,5.232.1,minor,2025-10-22,1.941,2.112,0.17,717,591,64.6,57.7,13.0,13.4
viva.republica.toss,5.234.1,5.233.1,minor,2025-10-26,1.952,2.07,0.118,731,572,64.2,58.9,13.0,12.8
viva.republica.toss,5.234.2,5.234.1,patch,2025-10-30,1.924,2.047,0.123,738,527,64.5,59.2,11.8,11.6
viva.republica.toss,5.235.0,5.234.2,minor,2025-11-01,2.013,2.036,0.023,690,466,61.3,59.7,12.8,11.4
viva.republica.toss,5.236.0,5.235.0,minor,2025-11-08,2.114,1.989,-0.124,606,475,58.1,60.6,14.2,10.1
viva.republica.toss,5.236.1,5.236.0,patch,2025-11-12,2.116,1.998,-0.119,619,440,57.8,60.5,13.9,10.5
viva.republica.toss,5.237.0,5.236.1,minor,2025-11-15,2.184,1.981,-0.203,591,422,55.0,61.8,14.6,10.7
viva.republica.toss,5.119.1,5.237.0,minor,2025-11-19,2.181,1.943,-0.237,592,442,55.6,63.1,14.7,10.9
viva.republica.toss,5.238.2,5.119.1,minor,2025-11-25,2.079,2.073,-0.006,555,423,58.9,60.5,13.0,13.9
viva.republica.toss,5.239.1,5.238.2,minor,2025-12-01,2.047,2.066,0.019,451,439,59.0,61.7,11.3,14.8
viva.republica.toss,5.239.2,5.239.1,patch,2025-12-02,2.026,2.076,0.05,454,434,60.4,60.6,11.2,14.5
viva.republica.toss,5.240.0,5.239.2,minor,2025-12-08,1.989,2.064,0.074,457,425,60.6,60.7,10.1,14.6
viva.republica.toss,5.240.1,5.240.0,patch,2025-12-10,1.998,2.052,0.055,460,420,60.4,61.2,10.7,14.5
viva.republica.toss,5.241.1,5.240.1,minor,2025-12-15,1.983,2.022,0.039,411,452,61.6,61.5,10.5,13.3
viva.republica.toss,5.242.1,5.241.1,minor,2025-12-20,1.965,2.065,0.1,426,445,62.7,59.8,11.3,13.3
viva.republica.toss,5.242.2,5.242.1,patch,2025-12-23,2.012,2.162,0.149,408,458,61.8,57.0,12.7,15.5
viva.republica.toss,5.242.3,5.242.2,patch,2025-12-25,2.047,2.164,0.117,404,457,60.9,56.9,13.4,15.3
viva.republica.toss,4.72.0,5.242.3,major,2026-01-02,2.072,2.184,0.112,418,473,61.0,55.6,14.6,16.7
viva.republica.toss,5.242.4,4.72.0,major,2026-01-04,2.071,2.252,0.181,408,472,59.8,54.4,14.2,18.2
viva.republica.toss,5.243.0,5.242.4,minor,2026-01-11,2.051,2.274,0.224,413,470,61.3,53.6,14.3,18.5
viva.republica.toss,5.244.0,5.243.0,minor,2026-01-19,2.058,2.3,0.242,430,466,59.8,54.3,12.8,20.0
viva.republica.toss,5.244.1,5.244.0,patch,2026-01-21,2.097,2.258,0.161,431,465,58.9,54.8,13.7,18.7
viva.republica.toss,5.245.0,5.244.1,minor,2026-01-24,2.163,2.19,0.027,448,459,56.9,56.2,15.4,16.6
viva.republica.toss,5.245.1,5.245.0,patch,2026-01-26,2.171,2.178,0.007,438,478,56.2,56.5,15.8,16.3
viva.republica.toss,5.245.2,5.245.1,patch,2026-01-28,2.127,2.214,0.087,448,490,56.9,56.1,15.0,16.9
viva.republica.toss,5.54.2,5.245.2,minor,2026-01-30,2.128,2.192,0.064,461,474,57.0,56.3,15.0,16.0
viva.republica.toss,5.246.0,5.54.2,minor,2026-02-02,2.211,2.137,-0.074,460,541,55.0,57.3,17.2,14.0
viva.republica.toss,5.247.1,5.246.0,minor,2026-02-07,2.266,2.08,-0.186,447,573,53.9,57.9,18.3,12.7
viva.republica.toss,5.247.2,5.247.1,patch,2026-02-10,2.249,2.122,-0.126,446,547,54.5,56.7,18.4,13.5
viva.republica.toss,5.22.2,5.247.2,minor,2026-02-12,2.297,2.087,-0.21,461,503,52.9,57.7,19.1,13.1
viva.republica.toss,5.248.1,5.22.2,minor,2026-02-16,2.335,2.056,-0.279,466,432,53.2,57.4,20.4,12.0
viva.republica.toss,5.249.0,5.248.1,minor,2026-02-28,2.217,1.992,-0.226,460,236,56.1,57.6,17.0,10.2
viva.republica.toss,5.249.1,5.249.0,patch,2026-03-03,2.183,2.041,-0.142,459,193,56.6,56.5,15.5,11.9
viva.republica.toss,5.249.2,5.249.1,patch,2026-03-06,2.097,2.095,-0.002,534,84,57.9,56.0,13.1,14.3
viva.republica.toss,5.250.0,5.249.2,minor,2026-03-06,2.097,2.095,-0.002,534,84,57.9,56.0,13.1,14.3
viva.republica.toss,5.250.1,5.250.0,patch,2026-03-10,2.08,2.562,0.482,562,16,58.0,50.0,12.8,31.2
